[05:00.000 --> 05:29.960]  How's everything, guys?
[02:00:16.960 --> 02:00:22.960]  I will have some questions in them where you will write what will be the algorithmic thinking part in that?
[02:00:22.960 --> 02:00:23.960]  How will you do the coding?
[02:00:23.960 --> 02:00:26.960]  Like some students end up making a unity game.
[02:00:26.960 --> 02:00:32.960]  Now, if the game is made just by the drag and drop of the widgets, then that's not an computer sense.
[02:00:32.960 --> 02:00:41.960]  IA, but if they have actually done the coding to control the characters in the way they want, then that contributes as a computer science IA.
[02:00:41.960 --> 02:00:49.960]  So it largely depends on what your ideas are and what is the element of programming in that because you get the score.
[02:00:49.960 --> 02:00:58.960]  Only for the programming that you have done, not for importing the characters or other objects into your project, which is ready to use.
[02:01:02.960 --> 02:01:06.960]  Let me check the attendance once before I let you go.
[02:01:06.960 --> 02:01:09.960]  Sir, the I sample you showed us.
[02:01:09.960 --> 02:01:14.960]  Was it like a real submission from a student and like how much do they can?
[02:01:14.960 --> 02:01:17.960]  This student got a high seven.
[02:01:17.960 --> 02:01:21.960]  This was my student in my previous school in 2023.
[02:01:21.960 --> 02:01:24.960]  He is studying in Cornell University now.
[02:01:24.960 --> 02:01:30.960]  He got a high seven.
[02:01:30.960 --> 02:01:32.960]  Thank you.
[02:01:32.960 --> 02:01:44.960]  But now I tell you, I mean, if this can slightly give you little comfort that in the previous syllabus, the expectations of IA was very, very high.
[02:01:44.960 --> 02:01:56.960]  It was it was structured in such a way that the I mean, it wasn't high initially, but when students started making very ambitious projects, the standard kept on going high and high and high.
[02:01:56.960 --> 02:02:03.960]  But this time with your with the new syllabus, when you will look at the actual samples, they are very low profile samples.
[02:02:03.960 --> 02:02:08.960]  And that's what I be said that now we are not expecting very ambitious project from the students.
[02:02:08.960 --> 02:02:14.960]  They should focus on the curriculum part, whatever they are selling as a part of IBDP computer science.
[02:02:14.960 --> 02:02:18.960]  They should try and develop products using only that much of skills.
[02:02:18.960 --> 02:02:22.960]  Even though it is not mandatory, you can definitely go beyond that.
[02:02:22.960 --> 02:02:31.960]  And even if you just use those subject specific skills, what you are learning as a part of IBDP computer science course, that will also get you highest score.
[02:02:31.960 --> 02:02:40.960]  If you are meeting the individual requirements of each criteria.
[02:02:40.960 --> 02:02:48.960]  But I think we will talk about that, what is expected and what is the quality of projects are needed little later.
[02:02:48.960 --> 02:02:56.960]  Do you have any other questions?
[02:02:56.960 --> 02:03:05.960]  If not, then I will sign out and if you guys want to stay here for five 10 minutes and talk to each other, feel free to do that.
[02:03:05.960 --> 02:03:11.960]  I have a question in our course syllabus.
[02:03:11.960 --> 02:03:17.960]  Do we have anything related like the use of AI tools or something like that?
[02:03:17.960 --> 02:03:22.960]  We have theme A topic for which is machine learning.
[02:03:22.960 --> 02:03:27.960]  So you will learn about how the machine learning actually takes place.
[02:03:27.960 --> 02:03:36.960]  You will learn the technicalities of that, but there is nothing specific about how to use AI and all that.
[02:03:36.960 --> 02:03:43.960]  But you may have the case study, which will be released next year, which may be based on AI.
[02:03:43.960 --> 02:03:52.960]  We don't know what the topic of case study will be, but generally it is on the latest trends of technological development.
[02:03:52.960 --> 02:03:56.960]  So it may have some element of AI in it.
[02:03:56.960 --> 02:04:02.960]  Thank you.
[02:04:02.960 --> 02:04:10.960]  Okay, so the code complexity was used to be a mandatory requirement in the previous curriculum.
[02:04:10.960 --> 02:04:15.960]  But now they have moved from code complexity to the relevance of the product.
[02:04:15.960 --> 02:04:24.960]  So as long as you have justification of what you are developing and what is its practical usage, complexity doesn't matter much.
[02:04:24.960 --> 02:04:31.960]  So if you can achieve something in a simplistic form, which is solving a real word problem, that's good enough.
[02:04:31.960 --> 02:04:35.960]  So no more complexity.
[02:04:35.960 --> 02:04:47.960]  Let's find Thomas. I saw your email. It happens at times.
[02:04:47.960 --> 02:04:52.960]  Maybe Thomas, you can develop a solution to this problem that if your mic stops working,
[02:04:52.960 --> 02:04:56.960]  obviously you can communicate in an ongoing class.
[02:04:56.960 --> 02:05:02.960]  That could be a solution to a real problem.
[02:05:02.960 --> 02:05:18.960]  Ideas comes like this. I mean, if you see any problem around you, just see that will developing an app to solve that problem could be useful.
[02:05:18.960 --> 02:05:22.960]  And sometimes these ideas can be so Nobel that it may become your career pathway.
[02:05:22.960 --> 02:05:25.960]  Just read about the history of manage back.
[02:05:25.960 --> 02:05:35.960]  You will know how a small initiative which was taken by IB students turned into a global venture.
[02:05:35.960 --> 02:05:54.960]  That was managed back came into existence by a few IB students who saw a problem for the IB teachers and students to keep the records in one place.
[02:05:54.960 --> 02:06:02.960]  And then they thought let's develop something where teachers and students will find it more convenient to organize their files, folders, deadlines, notifications.
[02:06:02.960 --> 02:06:12.960]  And they started for the school and which eventually became a global venture. So manage back is actually a product which was started by students like you.
[02:06:12.960 --> 02:06:24.960]  So you never know. I mean, one of my students created a counselor's recording page, which is a well known product now. It's it's commercialized.
[02:06:24.960 --> 02:06:31.960]  So it you never know. I mean, your idea could become Nobel and it could actually go into the market.
[02:06:31.960 --> 02:06:44.960]  But anyway, you should not actually aim at that level at this stage because you have number of hours allocated for IA and ideally it's be finished within that many hours, which is 30 hours overall.
[02:06:44.960 --> 02:06:51.960]  So you should not aim to make something very, very ambitious try to stick to the basics.
[02:06:52.960 --> 02:07:06.960]  Your SBCs have already been informed about the timeline for the IA so they know which deadline is when.
[02:07:06.960 --> 02:07:11.960]  Passion project or some forecast maybe yeah, of course, it has to be passion project.
[02:07:11.960 --> 02:07:20.960]  It will be good if you can develop something which is based on a project that you may be very interested in.
[02:07:20.960 --> 02:07:26.960]  Because when you do something out of your passion use take more interest in solving it.
[02:07:26.960 --> 02:07:32.960]  So it will be good if you can and that is a good thing which they have done because earlier it used to be client based.
[02:07:32.960 --> 02:07:38.960]  So it used to become very difficult for students to find a client who also needs something which they like to develop.
[02:07:38.960 --> 02:07:44.960]  Like let's say I want to develop something in Java and I'm not able to find a client who wants a product solution in Java.
[02:07:44.960 --> 02:07:49.960]  So it was not in alignment with my interest but now there is no issue of client.
[02:07:49.960 --> 02:07:55.960]  So you can actually think about something which interests you and you there is no restriction.
[02:07:55.960 --> 02:07:57.960]  You are not making it for somebody else.
[02:07:57.960 --> 02:08:04.960]  You're making just something which could have a significance from the usage point of view.
[02:08:04.960 --> 02:08:14.960]  All right guys if for any questions so I'm happy to answer them otherwise we are done.
[02:08:14.960 --> 02:08:18.960]  It's exactly two hours since we started the class.
[02:08:18.960 --> 02:08:30.960]  So next week I will have to check with Hamoja that there should not be any policy that I can't call you for a class during the holidays during the break.
[02:08:30.960 --> 02:08:32.960]  But I think that should be okay.
[02:08:32.960 --> 02:08:37.960]  I mean if you are willing to come I have no problems.
[02:08:37.960 --> 02:08:46.960]  Okay so I will send a sign up sheet and if you're interested please sign up and I'll see that if the number is beyond 20,
[02:08:46.960 --> 02:08:53.960]  then we'll have a class otherwise we'll push it to the time when your Hamoja classes start officially.
[02:08:54.960 --> 02:09:06.960]  But this document which I have prepared for 1.3.1.2.5 to the last topic I will put that in the content folder so that you can do some pre-readable about that.
[02:09:06.960 --> 02:09:14.960]  It is self-explanatory and you will know what we are going to discuss in the next class.
[02:09:14.960 --> 02:09:18.960]  So thank you so much for being so attentive for answering all the questions.
[02:09:18.960 --> 02:09:28.960]  So I'm really happy with the way you are going and let's continue working together for your success in the CS course.
[02:09:28.960 --> 02:09:32.960]  Bye everyone.
[02:09:32.960 --> 02:09:36.960]  Thank you very much.
[02:09:36.960 --> 02:09:37.960]  Bye bye.
[02:09:37.960 --> 02:09:40.960]  See you again.
[02:09:40.960 --> 02:09:41.960]  Bye bye.
